"","species","timestep","sim_mean","sim_sd","sim_cv","true_mean","true_sd","true_cv","rel_err_mean","rel_err_cv","ratio","true_mean_rescale","sim_mean_rescale","true_cv_rescale","sim_cv_rescale"
"173",3,35,7209741.88056273,484181.172343814,0.0671565196597611,3582522.3250935,402.560771555269,0.000112367972904332,101.247646945914,59664.8225949019,2.01247646945914,0.395929672428716,0.280215451491713,0.407741526856656,0.260974162085502
"174",3,36,8383566.15250322,612860.309917202,0.0731025793521305,4021318.7787974,485.993709385863,0.000120854310766978,108.478029563485,60388.1852274857,2.08478029563485,0.584606370077382,0.465387316957282,0.748911313323915,0.572943602012693
"175",3,37,9162007.39004439,633091.474792719,0.0690996468176448,4304749.04397521,509.719927366623,0.000118408743961512,112.834878327396,58256.8784752125,2.12834878327396,0.706477652299553,0.588187142754489,0.650594051117709,0.362923406209343
"176",3,38,9662635.8754814,679475.022631778,0.0703198414374615,4475874.1461543,532.187552220137,0.000118901366491146,115.88265353224,59041.3231930333,2.1588265353224,0.780059193106008,0.66716174974598,0.670398579992765,0.426942849645957
"177",3,39,10374040.7118485,715409.41343382,0.0689615004707594,4819597.62657353,564.341362701463,0.00011709304519321,115.247029226046,58794.6169748758,2.15247029226046,0.927855764027178,0.779386521204795,0.597700014243168,0.355675339305283
"178",3,4,5923309.16260857,400484.196503665,0.067611563993951,2683414.70096731,296.753252550029,0.000110587920846918,120.737747336383,61038.2902184613,2.20737747336383,0.00932523221748719,0.077279499429892,0.336179447882464,0.284848783839038
"179",3,40,10546057.3859532,740412.784055402,0.0702075436306266,4970272.42251717,567.414505726439,0.000114161651010484,112.182683149835,61398.3604469586,2.12182683149835,0.992643942412766,0.806522310774464,0.479851403504474,0.421050967338033
"180",3,41,10320007.7938516,803767.967938301,0.0778844341975366,4987380.05701971,598.689464023418,0.000120040874603243,106.922425719818,64781.5950858062,2.06922425719818,1,0.770862778374451,0.716209357924804,0.823831190620133
"181",3,42,10986072.420781,778651.206554205,0.0708762127838634,4930642.14838685,578.729301917669,0.000117374022389155,122.812203566127,60284.9227803343,2.22812203566127,0.975603446331488,0.875935089824652,0.608995926743251,0.456133753590512
"182",3,43,9996030.48436029,712738.535425322,0.0713021570452859,4795969.99153605,535.982062143895,0.000111756758922553,108.425626140308,63701.2033748203,2.08425626140308,0.917696192055961,0.719755057908037,0.383169356030543,0.478481593933706
"183",3,44,9455132.08805281,659757.305971823,0.0697776931964251,4640611.84977859,495.130805138252,0.000106695155976442,103.747531448982,65299.1200986029,2.03747531448982,0.850894236634023,0.634427835200319,0.179681582593203,0.398498183452865
"184",3,45,9473923.29396766,659208.924036431,0.0695814082066898,4438796.66466561,478.784332407788,0.000107863542436868,113.434496096283,64408.7363484426,2.13434496096283,0.764116364249108,0.637392165327731,0.226653334798516,0.388199780563904
"185",3,46,8697785.97327175,622427.65766167,0.0715616203450381,4169839.78141822,461.082801288837,0.000110575663684617,108.58801366976,64617.3328745697,2.0858801366976,0.64846844569223,0.514955784545517,0.335686682509137,0.492094746927986
